,,,,,,Play,Perf,Perf,Perf,Perf
Rk,Player,Nation,Pos,Squad,Age,MP,Gls,Ast,CrdY,CrdR
,,,,,,,,,,
66,Sofiane Boufal\Sofiane-Boufal,ma MAR,FWMF,Southampton,22,24,1,1,5,0
67,Jarrod Bowen\Jarrod-Bowen,eng ENG,MF,Hull City,19,7,0,0,0,0
68,George Boyd\George-Boyd,sco SCO,MF,Burnley,30,36,2,1,3,0
69,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,24,14,1,2,1,0
70,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,33,22,0,0,0,0
71,Miguel Britos\Miguel-Britos,uy URU,DF,Watford,31,27,1,2,8,4
72,Leon Britton\Leon-Britton,eng ENG,MF,Swansea City,33,16,0,0,3,0
73,Chris Brunt\Chris-Brunt,nir NIR,MFDF,West Brom,31,31,3,4,5,0
74,Jack Butland\Jack-Butland,eng ENG,GK,Stoke City,23,5,0,0,0,0
75,Sam Byram\Sam-Byram,eng ENG,DFMF,West Ham,22,18,0,1,6,2
76,Willy Caballero\Willy-Caballero,ar ARG,GK,Manchester City,34,17,0,0,0,0
77,Yohan Cabaye\Yohan-Cabaye,fr FRA,MF,Crystal Palace,30,32,4,2,7,0
78,Martín Cáceres\Martin-Caceres,uy URU,DF,Southampton,29,1,0,0,0,0
79,Gary Cahill\Gary-Cahill,eng ENG,DF,Chelsea,30,37,6,0,5,0
80,Jonathan Calleri\Jonathan-Calleri,ar ARG,FW,West Ham,22,16,1,0,0,0
81,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,MFFW,Everton,19,11,1,0,1,0
82,Geoff Cameron\Geoff-Cameron,us USA,MFDF,Stoke City,31,19,0,2,1,0
83,Fraizer Campbell\Fraizer-Campbell,eng ENG,FW,Crystal Palace,28,12,1,0,0,0
84,Emre Can\Emre-Can,de GER,MF,Liverpool,22,32,5,2,6,0
85,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,28,37,7,1,5,0
86,Baily Cargill\Baily-Cargill,eng ENG,DF,Bournemouth,21,1,0,0,0,0
87,Michael Carrick\Michael-Carrick,eng ENG,MF,Manchester Utd,35,23,0,0,2,0
